"_id","count","duplicated","ip","netaddr","port","tag"
"624152a9f2360000a8006fd6","1","0","0000:0000:0000:0000:0000:ffff:60ff:d738","[{""time"":1648034888,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:60ff:d738"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:60ff:d738"",""from_time"":1648034890489}]"
"624152a9f2360000a8006fd9","1","0","0000:0000:0000:0000:0000:ffff:acf8:b9bb","[{""time"":1648035593,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:acf8:b9bb"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:acf8:b9bb"",""from_time"":1648035593988}]"
"624152a9f2360000a8006fdc","1","0","0000:0000:0000:0000:0000:ffff:c257:7013","[{""time"":1648029297,""services"":5,""ip"":""0000:0000:0000:0000:0000:ffff:c257:7013"",""port"":8344}]","8344","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:c257:7013"",""from_time"":1648029297893}]"
"624152a9f2360000a8006fdd","1","0","0000:0000:0000:0000:0000:ffff:ae14:b42d","[{""time"":1648037852,""services"":1032,""ip"":""0000:0000:0000:0000:0000:ffff:ae14:b42d"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:ae14:b42d"",""from_time"":1648037852836}]"
"624152a9f2360000a8006fde","1","0","0000:0000:0000:0000:0000:ffff:d433:9260","[{""time"":1648031748,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:d433:9260"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:d433:9260"",""from_time"":1648031747628}]"
"624152a9f2360000a8006fdf","1","0","0000:0000:0000:0000:0000:ffff:b9b9:2a06","[{""time"":1648032893,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:b9b9:2a06"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:b9b9:2a06"",""from_time"":1648032892929}]"
"624152a9f2360000a8006fe0","1","0","0000:0000:0000:0000:0000:ffff:322f:5068","[{""time"":1648029136,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:322f:5068"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:322f:5068"",""from_time"":1648029138676}]"
"624152a9f2360000a8006fe3","1","0","0000:0000:0000:0000:0000:ffff:b869:83b5","[{""time"":1648043756,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:b869:83b5"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:b869:83b5"",""from_time"":1648044802888}]"
"624152a9f2360000a8006fe5","1","0","0000:0000:0000:0000:0000:ffff:c2e9:45b4","[{""time"":1648028857,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:c2e9:45b4"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:c2e9:45b4"",""from_time"":1648028856559}]"
"624152a9f2360000a8006fe6","1","0","0000:0000:0000:0000:0000:ffff:a23e:12e2","[{""time"":1648033251,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:a23e:12e2"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:a23e:12e2"",""from_time"":1648033250048}]"
"624152a9f2360000a8006fe7","1","0","0000:0000:0000:0000:0000:ffff:9eb5:99d3","[{""time"":1648032765,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:9eb5:99d3"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:9eb5:99d3"",""from_time"":1648032761761}]"
"624152a9f2360000a8006fe8","1","0","0000:0000:0000:0000:0000:ffff:4852:0d23","[{""time"":1648040522,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:4852:0d23"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:4852:0d23"",""from_time"":1648040521329}]"
